COMPASS-2;42777;;437.300/2403.000;;1200bps AFSK;;inactive
Connecta-T1_1;52739;;401.525 ;;9600bps GMSK;CONT11;active
Connecta-T1_2;55012;;401.525 ;;4800bps GFSK;CONT12;active
COPPER;39395;;2403.000-2403.400;437.290 ;9600bps FSK;;re-entered
CORVUS-BC2;42846;;400.175 ;;FM;;inactive
CORVUS-BC1;42847;;400.175 ;;FM;;inactive
CO-55;27844;;437.470 ;436.838 ;1200bps AFSK CW*;JQ1YCY;active
CO-56;28941;;437.505 ;437.382 ;1200bps AFSK;JQ1YPC;re-entered
CO-56;28941;1268.500 ;437.505 ;437.382 ;9600bps GMSK;;re-entered
CO-57;27848;;437.490 ;436.848 ;1200bps AFSK CW*;JQ1YCW;active
CO-58;28895;;437.345 ;437.465 ;1200bps AFSK CW*;JQ1YGW;active
CO-65;32785;;437.475 ;437.275 ;1200bps AFSK CW*;JQ1YTC;active
CO-65;32785;1267.600 ;437.475 ;;9600bps GMSK;JQ1YTC;inactive
CO-66;32791;;437.485 ;437.485 ;1k2AFSK CW* DigiTalker;JQ1YGU;active
CO-77;39577;;437.200 ;437.325 ;1k2AFSK DigiTalker CW;JQ1ZKK;re-entered
CPOD-FLT1;52772;;401.180 ;;FM;;inactive
CP-1;;;436.845 ;;15bps DTMF;;failure
CP-2;;;437.325 ;;1200bps AFSK;;failure
CP-3;31129;;436.845 ;;1200bps AFSK;;inactive
CP-4;31132;;437.325 ;437.325 ;1200bps SSB CW;N6CP;inactive
CP-5;38763;;437.405 ;437.405 ;1200bps AFSK CW;CP5;inactive
CP-6;35003;;437.365 ;437.365 ;1200bps AFSK CW;N6CP;inactive
CP-7;43615;;437.150 ;437.150 ;9600bps FSK CW;WI2XNR-1;re-entered
CP-8;39471;;437.270 ;437.270 ;9600bps GMSK CW;KJ6KSL-1;inactive
CP-9;44360;;437.505 ;;9k6*/19k2/38k4 FSK;KJ6RQH-1;re-entered
CP-10;40380;;437.270 ;437.270 ;9600bps FSK CW;KK6HGC XO3;inactive
CP-11;43856;;437.150 ;437.150 ;9600bps FSK CW;;inactive
CP-12;47319;;437.150 ;437.150 ;9600bps FSK CW;KK6HIT;inactive
CryoCube-1;45260;2082.004 ;2261.000 ;;;;re-entered
CSIM-FD;43793;;437.250 ;;9k6*/19k2 GMSK;CSIM;active
CSS(TIANHE);48274;435.06839;145.98723;;FM;;unknown
CSS(TIANHE);48274;145.850 ;145.985 ;;NFM Crew Voice;;unknown
CSS(TIANHE);48274;435.050 ;436.510 ;;NFM Crew Voice;;unknown
CSS(TIANHE);48274;145.875 ;436.510 ;;NFM Repeater;;unknown
CSS(TIANHE);48274;435.075 ;145.985 ;;NFM Repeater;;unknown
CSS(TIANHE);48274;145.825 ;145.825 ;;1k2_AFSK Digipeater;;unknown
CSS(TIANHE);48274;437.550 ;437.550 ;;1k2_AFSK Digipeater;;unknown
CSS(TIANHE);48274;145.850 ;145.985 ;;SSTV Imaging;;unknown
CSS(TIANHE);48274;435.050 ;436.510 ;;SSTV Imaging;;unknown
CSS(WENTIAN);53239;;;;;;inactive
CSS(MENGTIAN);54216;;;;;;inactive
CSSWE;38761;;437.349 ;;9600bps GMSK;CSSWE7;inactive
CSTB-1;31122;;400.038 ;;1200bps AFSK;;inactive
CSUNSat1;42715;;437.400 ;437.400 ;9600bps GMSK CW;CSUNSAT1;re-entered
CTIM-FD;52950;;437.250 ;;9600bps GFSK;;active
CUAVA-1;49275;145.875/2404.000;437.075/2440.000;;9600bps GMSK;;re-entered
CUAVA-1;49275;5660.000/76.750GHz;5840.000/76.750GHz;;9600bps GMSK;;re-entered
CubeBel-1;43666;436.200 ;436.200/436.990*;;4k8/9k6* GMSK Digipeater;EU10S;active
CubeBug-1;39153;;437.445 ;437.438 ;1200bps AFSK;CUBEB1;inactive
CubeBug-2;39440;;437.445 ;;1k2AFSK 9k6*FSK;CUBEB2-6;active
CubeSail-1/2;43851;;437.305/437.505;;9600bps GMSK;;inactive
CubeSX-HSE;47952;;435.650/10455.000;;9k6FSK/DVB-S2;RS13S;active
CubeSX-HSE-2;53383;;435.570 ;;2400bps GMSK USP;RS21S;active
CubeSX-Sirius-HSE;47951;;437.050/10465.000;;2k4/9k6*FSK/DVB-S2;RS14S;active
CUNYSAT-1;39470;;437.505 ;437.505 ;9600bps GMSK CW;;inactive
CuPID;49264;;400.500 ;;38k4 GFSK;;inactive
CUSat-1;39266;;437.405 ;;1200bps AFSK;BOTTOM;inactive
CUSat-2;39271;;437.485 ;;1200bps AFSK;WG2XTI;inactive
CUTE;49263;;437.250/2402.000;;9k6*/19k2GMSK 1MbpsBPSK;CUTE;active
CUTE-I;27844;;437.470 ;436.838 ;1200bps AFSK CW*;JQ1YCY;active
